"VRSTA TURISTIÈNEGA POTOVANJA","DESTINACIJA","PREVOZNO SREDSTVO","MERITVE","2021","2022"
"Zasebna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",6.1,5.9
"Zasebna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",70.50,74.30
"Zasebna potovanja","Tujina","Osebno cestno motorno vozilo","Potovanja (v 1000)",1656,2326
"Zasebna potovanja","Tujina","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",9595,13095
"Zasebna potovanja","Tujina","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",5.8,5.6
"Zasebna potovanja","Tujina","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",58.15,63.73
"Zasebna potovanja","Tujina","Avtobus","Potovanja (v 1000)",63,155
"Zasebna potovanja","Tujina","Avtobus","Prenoèitve (v 1000)",403,875
"Zasebna potovanja","Tujina","Avtobus","Povpreèno število prenoèitev",6.4,5.7
"Zasebna potovanja","Tujina","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",57.24,71.61
"Zasebna potovanja","Tujina","Vlak","Potovanja (v 1000)",N,30
"Zasebna potovanja","Tujina","Vlak","Prenoèitve (v 1000)",N,170
"Zasebna potovanja","Tujina","Vlak","Povpreèno število prenoèitev",N,5.7
"Zasebna potovanja","Tujina","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,97.47
"Zasebna potovanja","Tujina","Letalo","Potovanja (v 1000)",159,303
"Zasebna potovanja","Tujina","Letalo","Prenoèitve (v 1000)",1418,2299
"Zasebna potovanja","Tujina","Letalo","Povpreèno število prenoèitev",8.9,7.6
"Zasebna potovanja","Tujina","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",151.27,131.77
"Zasebna potovanja","Tujina","Drugo","Potovanja (v 1000)",N,32
"Zasebna potovanja","Tujina","Drugo","Prenoèitve (v 1000)",N,240
"Zasebna potovanja","Tujina","Drugo","Povpreèno število prenoèitev",N,7.5
"Zasebna potovanja","Tujina","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,93.49
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",3168,3123
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",6194,6243
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",2.0,2.0
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",78.67,91.71
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",3007,2907
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",5873,5770
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",2.0,2.0
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",77.58,87.91
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Avtobus","Potovanja (v 1000)",80,118
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Avtobus","Prenoèitve (v 1000)",158,260
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Avtobus","Povpreèno število prenoèitev",2.0,2.2
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",75.38,102.49
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Vlak","Potovanja (v 1000)",44,38
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Vlak","Prenoèitve (v 1000)",86,73
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Vlak","Povpreèno število prenoèitev",2.0,1.9
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",67.70,97.54
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Letalo","Potovanja (v 1000)",22,47
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Letalo","Prenoèitve (v 1000)",55,122
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Letalo","Povpreèno število prenoèitev",2.5,2.6
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",224.38,236.83
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Drugo","Potovanja (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Drugo","Prenoèitve (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Drugo","Povpreèno število prenoèitev",N,N
"...krajša zasebna (1-3 prenoèitve)","Destinacija - SKUPAJ","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",2410,2035
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",4603,3864
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",1.9,1.9
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",75.02,78.25
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Osebno cestno motorno vozilo","Potovanja (v 1000)",2305,1944
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",4407,3687
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",1.9,1.9
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",75.79,79.45
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Avtobus","Potovanja (v 1000)",60,58
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Avtobus","Prenoèitve (v 1000)",114,123
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Avtobus","Povpreèno število prenoèitev",1.9,2.1
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",61.90,52.37
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Vlak","Potovanja (v 1000)",36,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Vlak","Prenoèitve (v 1000)",67,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Vlak","Povpreèno število prenoèitev",1.9,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",55.51,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Letalo","Potovanja (v 1000)",-,-
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Letalo","Prenoèitve (v 1000)",-,-
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Letalo","Povpreèno število prenoèitev",-,-
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",-,-
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Drugo","Potovanja (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Drugo","Prenoèitve (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Drugo","Povpreèno število prenoèitev",N,N
"...krajša zasebna (1-3 prenoèitve)","Slovenija","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",758,1088
"...krajša zasebna (1-3 prenoèitve)","Tujina","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",1591,2379
"...krajša zasebna (1-3 prenoèitve)","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",2.1,2.2
"...krajša zasebna (1-3 prenoèitve)","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",89.22,113.57
"...krajša zasebna (1-3 prenoèitve)","Tujina","Osebno cestno motorno vozilo","Potovanja (v 1000)",702,963
"...krajša zasebna (1-3 prenoèitve)","Tujina","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",1466,2083
"...krajša zasebna (1-3 prenoèitve)","Tujina","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",2.1,2.2
"...krajša zasebna (1-3 prenoèitve)","Tujina","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",82.96,102.87
"...krajša zasebna (1-3 prenoèitve)","Tujina","Avtobus","Potovanja (v 1000)",20,60
"...krajša zasebna (1-3 prenoèitve)","Tujina","Avtobus","Prenoèitve (v 1000)",45,137
"...krajša zasebna (1-3 prenoèitve)","Tujina","Avtobus","Povpreèno število prenoèitev",2.3,2.3
"...krajša zasebna (1-3 prenoèitve)","Tujina","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",109.55,147.40
"...krajša zasebna (1-3 prenoèitve)","Tujina","Vlak","Potovanja (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Vlak","Prenoèitve (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Vlak","Povpreèno število prenoèitev",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Letalo","Potovanja (v 1000)",22,47
"...krajša zasebna (1-3 prenoèitve)","Tujina","Letalo","Prenoèitve (v 1000)",55,122
"...krajša zasebna (1-3 prenoèitve)","Tujina","Letalo","Povpreèno število prenoèitev",2.5,2.6
